534	533	532	531	530	529	525	506	498	485	469	426	403	277	345	333	282	448	413	284	283	378	368	361	341	317	482	472	385	344	380	456	435	425	418	363	288	350	430	416	323	322	410	377	505	500	458	327	292	373	325	464	383	276	509	508	495	490	445	415	397	388	286	360	336	314	432	395	295	362	303	471	398	309	365	346	311	285	275	310	466	459	443	390	313	312	528	526	523	512	489	483	291	290	446	289	412	405	296	439	437	402	386	522	514	507	473	497	494	299	488	434	374	335	302	301	433	387	269	491	486	468	460	407	389	366	357	348	279	297	328	417	451	340	513	484	444	401	391	364	406	330	524	479	476	467	440	424	393	369	353	338	278	273	376	404	384	394	372	329	527	521	519	518	496	493	477	465	453	428	421	307	355	351	272	271	306	308	447	347	268	422	481	449	414	396	431	342	520	516	510	478	470	270	450	455	420	411	358	511	503	487	423	370	321	371	354	343	300	438	400	339	298	274	474	463	454	452	442	427	331	399	375	305	304	408	349	501	480	457	436	392	381	359	337	332	326	316	517	515	504	499	462	318	315	334	324	429	419	409	367	281	294	293	287	502	492	475	441	382	352	280	461	379	356	320	319
A-66:02	A-24:17	B-40:06	A-02:13	B-15:15	B-35:22	C-06:02	C-03:02	C-03:10	C-15:11																						C-03:02													C-06:02										B-35:22	B-67:01	B-54:01	B-51:01																													B-15:15	B-15:06	A-30:10	A-29:10														B-15:06	B-35:20			B-35:20												B-15:06	B-15:27	B-15:35																					A-02:13	A-02:11	A-02:01	A-02:16															B-40:06	B-07:10	B-39:01	B-39:14	B-39:24	B-15:10	B-39:12	B-39:06																					B-40:06	B-13:03										B-40:06	B-18:18														B-40:06	B-37:01												A-24:17	A-31:08										A-66:02	A-33:03	A-33:05															A-66:02											
A-34:01	A-31:08	B-41:01	A-02:22	B-15:02	B-35:04	C-15:04	C-16:04	C-03:07	C-15:05																						C-16:04																							B-35:04	B-54:01	B-56:01	B-59:01																													B-15:02	B-15:38	A-30:02															B-15:38	B-35:16			B-35:16												B-15:38	B-15:07																						A-02:22	A-02:20	A-02:16	A-02:35															B-41:01	B-14:03	B-39:09	B-39:24	B-39:03	B-39:12	B-39:05																						B-41:01											B-41:01	B-40:27														B-41:01	B-49:01												A-31:08											A-34:01	A-33:05	A-33:01															A-34:01											
A-34:05	B-45:01	B-37:01	A-02:02	B-48:02	B-35:02	C-16:02	C-12:03	C-03:49	C-15:02																						C-12:03																							B-35:02	B-56:01	B-55:02	B-51:05																													B-48:02	B-15:01	A-80:01															B-15:01	B-35:10			B-35:10												B-15:01	B-15:35																						A-02:02	A-02:01	A-02:35	A-02:90															B-37:01	B-14:01	B-39:14	B-39:03	B-39:29	B-39:05	B-39:06																						B-37:01											B-37:01	B-40:03														B-37:01																								A-34:05	A-33:01	A-74:03															A-34:05											
A-30:01	B-50:02	B-49:01	A-02:11	B-15:03	B-35:09	C-12:09	C-12:13	C-08:03	C-15:13																						C-12:13																							B-35:09	B-55:02	B-78:01	B-51:09																													B-15:03	B-15:27	A-29:01															B-15:27	B-15:13															B-15:27																							A-02:11	A-02:16	A-02:90																B-49:01	B-14:02	B-39:24	B-39:29	B-15:09	B-39:06																							B-49:01											B-49:01	B-47:02														B-49:01																								A-30:01	A-74:03	A-74:01																										
A-03:17	B-40:05	B-44:05	A-02:20	B-15:04	B-35:12	C-12:05	B-46:01	C-08:01	C-17:03																																													B-35:12	B-78:01	B-55:05	B-51:08																													B-15:04	B-15:07	A-29:02															B-15:07	B-53:01															B-15:07																							A-02:20	A-02:35																	B-44:05	B-73:01	B-39:03	B-15:09	B-15:10																								B-44:05											B-44:05	B-47:01																																						A-03:17	A-74:01	A-31:01																										
A-03:01	B-40:32	B-44:08	A-02:01	B-15:20	B-56:04	C-12:04	C-01:02	C-08:04	C-17:01																																													B-56:04	B-55:05	B-55:01																														B-15:20	B-15:35	A-29:10															B-15:35	B-44:06															B-15:35																							A-02:01	A-02:90																	B-44:08	B-38:01	B-39:29	B-15:10	B-39:12																								B-44:08											B-44:08																																							A-03:01	A-31:01	A-31:16																										
A-11:03	B-40:01	B-44:04	A-02:16	B-15:05	B-39:10	C-02:02	C-01:03	C-15:11	C-08:10																																													B-39:10	B-55:01	B-51:06																														B-15:05	B-56:03																B-56:03																																							A-02:16																		B-44:04	B-38:02	B-15:09	B-39:12	B-39:05																								B-44:04											B-44:04																																							A-11:03	A-31:16																											
A-03:12	B-41:02	B-44:03	A-02:35	B-15:12	B-67:01	C-02:10	C-08:02	C-15:05	C-04:06																																													B-67:01	B-51:06	B-51:02																														B-15:12	B-35:43																B-35:43																																							A-02:35																		B-44:03	B-39:01	B-15:10	B-39:05	B-39:06																								B-44:03											B-44:03																																							A-03:12																												
A-11:25	B-40:04	B-44:02	A-02:90	B-15:25	B-54:01	C-16:01	C-05:01	C-15:02																																														B-54:01	B-51:02	B-51:34																														B-15:25	B-15:08																B-15:08																																							A-02:90																		B-44:02	B-39:09	B-39:12	B-39:06																									B-44:02											B-44:02																																							A-11:25																												
A-03:02	B-40:02	B-44:27	A-32:08	B-15:06	B-56:01	C-12:02	C-04:03	C-15:13																																														B-56:01	B-51:34	B-51:13																														B-15:06	B-15:11																B-15:11																																																									B-44:27	B-39:14	B-39:05																										B-44:27											B-44:27																																							A-03:02																												
A-11:27	B-40:64	B-18:03	A-32:01	B-15:38	B-55:02	C-08:11	C-03:05	C-17:03																																														B-55:02	B-51:13	B-51:01																														B-15:38	B-35:08																B-35:08																																																									B-18:03	B-39:24	B-39:06																										B-18:03											B-18:03																																							A-11:27																												
A-11:02	B-50:01	B-18:11	B-15:17	B-15:01	B-78:01	C-03:02	C-03:03	C-17:01																																														B-78:01	B-51:01	B-59:01																														B-15:01	B-35:19																B-35:19																																																									B-18:11	B-39:03																											B-18:11											B-18:11																																							A-11:02																												
A-11:01	B-40:06	B-18:01	B-15:16	B-15:27	B-55:05	C-16:04	C-03:04	C-08:10																																														B-55:05	B-59:01	B-51:05																														B-15:27	B-35:41																B-35:41																																																									B-18:01	B-39:29																											B-18:01											B-18:01																																							A-11:01																												
A-33:03	B-41:01	B-18:02	B-58:02	B-15:07	B-55:01	C-12:03	C-03:06	C-04:06																																														B-55:01	B-51:05	B-51:09																														B-15:07	B-35:01																B-35:01																																																									B-18:02	B-15:09																											B-18:02											B-18:02																																							A-33:03																												
A-33:05	B-37:01	B-18:18	B-57:03	B-15:35	B-51:06	C-12:13	C-03:10																																															B-51:06	B-51:09	B-51:08																														B-15:35	B-35:17																B-35:17																																																									B-18:18	B-15:10																											B-18:18											B-18:18																																							A-33:05																												
A-33:01	B-49:01	B-40:27	B-57:02	B-56:03	B-51:02	B-46:01	C-03:07																																															B-51:02	B-51:08																															B-56:03	B-35:05																B-35:05																																																									B-40:27	B-39:12																											B-40:27											B-40:27																																							A-33:01																												
A-74:03	B-44:05	B-40:03	B-57:01	B-35:43	B-51:34	C-01:02	C-03:49																																															B-51:34																																B-35:43	B-35:20																B-35:20																																																									B-40:03	B-39:05																											B-40:03											B-40:03																																							A-74:03																												
A-74:01	B-44:08	B-47:02	B-58:01	B-15:08	B-51:13	C-01:03	C-08:03																																															B-51:13																																B-15:08	B-35:16																B-35:16																																																									B-47:02	B-39:06																											B-47:02											B-47:02																																							A-74:01																												
A-31:01	B-44:04	B-47:01	B-15:21	B-15:11	B-51:01	C-08:02	C-08:01																																															B-51:01																																B-15:11	B-35:10																B-35:10																																																									B-47:01																												B-47:01											B-47:01																																							A-31:01																												
A-31:16	B-44:03	B-15:58	B-15:15	B-35:08	B-59:01	C-05:01	C-08:04																																															B-59:01																																B-35:08	B-15:13																B-15:13																																																									B-15:58																												B-15:58																																																		A-31:16																												
A-24:24	B-44:02	B-48:01	B-15:02	B-35:19	B-51:05	C-04:03	C-15:11																																															B-51:05																																B-35:19	B-53:01																B-53:01																																																									B-48:01																												B-48:01																																																																														
A-24:04	B-44:27	B-40:10	B-48:02	B-35:41	B-51:09	C-03:05	C-15:05																																															B-51:09																																B-35:41	B-44:06																B-44:06																																																									B-40:10																												B-40:10																																																																														
A-24:03	B-18:03	B-48:03	B-15:03	B-35:01	B-51:08	C-03:03	C-15:02																																															B-51:08																																B-35:01	A-25:01																																																																									B-48:03																												B-48:03																																																																														
A-24:02	B-18:11	B-39:02	B-15:04	B-35:17	C-07:04	C-03:04	C-15:13																																																																															B-35:17	A-43:01																																																																									B-39:02																												B-39:02																																																																														
A-24:07	B-18:01	B-39:13	B-15:20	B-35:05	C-18:01	C-03:06	C-17:03																																																																															B-35:05	A-26:02																																																																									B-39:13																												B-39:13																																																																														
A-24:20	B-18:02	B-52:01	B-15:05	B-35:20	C-04:26	C-03:10	C-17:01																																																																															B-35:20	A-26:08																																																																									B-52:01																												B-52:01																																																																														
A-24:32	B-18:18	B-51:07	B-15:12	B-35:16	C-04:01	C-03:07	C-08:10																																																																															B-35:16	A-26:01																																																																									B-51:07																												B-51:07																																																																														
A-24:25	B-40:27	B-13:01	B-15:25	B-35:10	C-14:04	C-03:49	C-04:06																																																																															B-35:10	A-01:02																																																																									B-13:01																												B-13:01																																																																														
A-23:01	B-40:03	B-13:02	B-15:06	B-15:13	C-14:02	C-08:03																																																																																B-15:13	A-36:01																																																																									B-13:02																												B-13:02																																																																														
A-24:53	B-47:02	B-13:03	B-15:38	B-53:01	C-14:03	C-08:01																																																																																B-53:01	A-01:25																																																																									B-13:03																												B-13:03																																																																														
A-24:17	B-47:01	B-27:06	B-15:01	B-44:06	C-07:02	C-08:04																																																																																B-44:06	A-01:01																																																																									B-27:06																																																																																																										
A-31:08	B-15:58	B-27:09	B-15:27	A-25:01	C-07:01	C-15:11																																																																																A-25:01	A-30:04																																																																									B-27:09																																																																																																										
B-45:01	B-48:01	B-27:07	B-15:07	A-43:01	C-07:06	C-15:05																																																																																A-43:01	A-30:10																																																																									B-27:07																																																																																																										
B-50:02	B-40:10	B-27:02	B-15:35	A-26:02	C-06:02	C-15:02																																																																																A-26:02	A-30:02																																																																									B-27:02																																																																																																										
B-40:05	B-48:03	B-27:04	B-56:03	A-26:08	C-15:04	C-15:13																																																																																A-26:08	A-80:01																																																																									B-27:04																																																																																																										
B-40:32	B-39:02	B-27:03	B-35:43	A-26:01	C-16:02	C-17:03																																																																																A-26:01	A-29:01																																																																									B-27:03																																																																																																										
B-40:01	B-39:13	B-27:05	B-15:08	A-01:02	C-12:09	C-17:01																																																																																A-01:02	A-29:02																																																																									B-27:05																																																																																																										
B-41:02	B-52:01	B-39:07	B-15:11	A-36:01	C-12:05	C-08:10																																																																																A-36:01	A-29:10																																																																									B-39:07																																																																																																										
B-40:04	B-51:07	B-15:18	B-35:08	A-01:25	C-12:04	C-04:06																																																																																A-01:25																																																																										B-15:18																																																																																																										
B-40:02	B-13:01	B-08:01	B-35:19	A-01:01	C-02:02																																																																																	A-01:01																																																																										B-08:01																																																																																																										
B-40:64	B-13:02	B-07:10	B-35:41	A-30:04	C-02:10																																																																																	A-30:04																																																																										B-07:10																																																																																																										
